bus_number,bus_type,source,destination,departure_time,arrival_time,ticket_price_rs,available_seats
TNSTC 9619,AC Seater,Kanyakumari,Cuddalore,09:32 AM,03:25 PM,520,13
TNSTC 8989,AC Sleeper,Krishnagiri,Chengalpattu,01:36 AM,08:40 AM,240,23
TNSTC 3193,Sleeper,Karur,Trichy,04:46 PM,10:02 PM,260,37
TNSTC 7021,Sleeper,Dharmapuri,Erode,02:22 AM,10:17 AM,210,17
TNSTC 5751,AC Sleeper,Vellore,Perambalur,09:45 PM,05:16 AM,370,1
TNSTC 6009,Deluxe,Dharmapuri,Dindigul,09:37 AM,01:12 PM,400,13
TNSTC 2590,Ultra Deluxe,Chennai,Tiruvannamalai,01:16 PM,11:07 PM,300,35
TNSTC 1009,Deluxe,Salem,Tiruvallur,11:14 PM,02:03 AM,500,40
TNSTC 8913,Deluxe,Chengalpattu,Tiruvarur,12:37 PM,05:54 PM,240,33
TNSTC 8500,Government,Thanjavur,Cuddalore,12:14 PM,03:00 PM,620,38
TNSTC 3463,Express,Thanjavur,Tiruvarur,08:35 AM,04:37 PM,610,9
TNSTC 7566,Express,Karur,Nilgiris,07:32 PM,01:39 AM,260,15
TNSTC 5175,Sleeper,Krishnagiri,Cuddalore,04:42 AM,09:10 AM,480,33
TNSTC 9812,Sleeper,Nilgiris,Ramanathapuram,10:09 PM,12:59 AM,260,30
TNSTC 4358,Ultra Deluxe,Chennai,Namakkal,06:06 PM,09:38 PM,360,3
TNSTC 5432,AC Seater,Karur,Krishnagiri,01:51 AM,08:13 AM,410,38
TNSTC 7776,Government,Namakkal,Coimbatore,02:14 AM,09:49 AM,630,11
TNSTC 6622,Deluxe,Trichy,Ambur,12:13 AM,09:11 AM,320,3
TNSTC 5500,Government,Ambur,Tirupathur,07:29 PM,03:50 AM,150,34
TNSTC 8908,Sleeper,Ariyalur,Krishnagiri,04:07 AM,10:15 AM,350,30
TNSTC 3523,AC Seater,Krishnagiri,Karur,08:25 PM,03:05 AM,520,35
TNSTC 8149,Deluxe,Virudhunagar,Dharmapuri,03:59 AM,11:29 AM,410,18
TNSTC 2327,AC Seater,Kallakurichi,Madurai,11:33 PM,04:55 AM,450,18
TNSTC 4117,Express,Kallakurichi,Tiruvannamalai,09:07 PM,11:56 PM,260,15
TNSTC 6659,Sleeper,Ranipet,Theni,01:36 AM,09:47 AM,590,28
TNSTC 1282,Government,Ambur,Vellore,04:29 AM,01:57 PM,610,37
TNSTC 7442,Deluxe,Pudukkottai,Kanyakumari,11:04 PM,08:14 AM,540,4
TNSTC 2291,Express,Pudukkottai,Cuddalore,06:15 PM,03:57 AM,230,24
TNSTC 8632,Sleeper,Karur,Dindigul,08:32 AM,12:49 PM,410,25
TNSTC 5412,AC Sleeper,Tiruvarur,Virudhunagar,03:46 PM,07:17 PM,320,38
TNSTC 3725,Deluxe,Coimbatore,Tirupur,11:22 AM,05:14 PM,440,6
TNSTC 3243,Deluxe,Ambur,Kanchipuram,12:21 PM,05:30 PM,430,7
TNSTC 4675,Government,Madurai,Thanjavur,11:42 AM,05:37 PM,510,26
TNSTC 4798,Express,Ramanathapuram,Tirupur,07:24 PM,10:35 PM,410,32
TNSTC 3960,Express,Nagapattinam,Pudukkottai,05:28 AM,08:39 AM,630,4
TNSTC 4962,AC Seater,Ranipet,Ambur,03:34 AM,11:18 AM,500,33
TNSTC 4633,Deluxe,Tirupathur,Nilgiris,04:57 PM,08:25 PM,480,2
TNSTC 9310,AC Sleeper,Ramanathapuram,Tenkasi,07:46 PM,10:15 PM,370,15
TNSTC 3883,Government,Kallakurichi,Theni,11:52 AM,08:52 PM,580,10
TNSTC 3178,Ultra Deluxe,Kanchipuram,Perambalur,02:30 PM,06:55 PM,300,30
TNSTC 6111,Ultra Deluxe,Tiruvarur,Tirunelveli,08:14 PM,10:24 PM,580,28
TNSTC 4849,Deluxe,Ramanathapuram,Erode,08:12 AM,12:11 PM,230,35
TNSTC 6677,Government,Villupuram,Madurai,06:53 AM,11:26 AM,280,24
TNSTC 6037,AC Sleeper,Namakkal,Ranipet,07:36 AM,04:28 PM,620,2
TNSTC 3422,Government,Dindigul,Theni,08:59 PM,06:55 AM,630,17
TNSTC 4517,Deluxe,Dharmapuri,Virudhunagar,05:34 AM,03:20 PM,230,39
TNSTC 3995,Ultra Deluxe,Salem,Tiruvarur,12:05 PM,05:08 PM,230,10
TNSTC 6216,Government,Kallakurichi,Ariyalur,04:58 AM,02:26 PM,640,7
TNSTC 4287,Deluxe,Dindigul,Kanyakumari,01:40 PM,06:37 PM,310,3
TNSTC 2068,Deluxe,Coimbatore,Tiruvarur,06:35 AM,03:34 PM,350,1
TNSTC 9217,Ultra Deluxe,Karur,Chengalpattu,07:04 AM,12:09 PM,510,35
TNSTC 6112,Government,Tiruvallur,Ranipet,06:31 PM,03:00 AM,240,12
TNSTC 6800,Express,Erode,Tiruvannamalai,11:50 PM,05:56 AM,190,1
TNSTC 8179,AC Sleeper,Ranipet,Dharmapuri,08:30 PM,05:20 AM,630,7
TNSTC 4145,AC Seater,Ramanathapuram,Nilgiris,08:38 AM,12:29 PM,310,36
TNSTC 1334,Ultra Deluxe,Ariyalur,Kanyakumari,01:26 PM,05:19 PM,310,15
TNSTC 5862,AC Sleeper,Ariyalur,Perambalur,03:33 PM,11:49 PM,610,20
TNSTC 1020,Express,Nilgiris,Theni,07:00 PM,12:13 AM,200,26
TNSTC 7647,Deluxe,Chennai,Trichy,07:17 AM,10:29 AM,270,17
TNSTC 3812,Sleeper,Thanjavur,Tiruvallur,04:23 AM,01:38 PM,490,31
TNSTC 9752,Government,Tirunelveli,Nilgiris,06:02 AM,09:29 AM,400,6
TNSTC 5698,Ultra Deluxe,Tiruvannamalai,Kallakurichi,11:04 AM,01:53 PM,360,39
TNSTC 2284,AC Seater,Chennai,Tirupathur,06:57 AM,09:01 AM,220,36
TNSTC 4021,Deluxe,Coimbatore,Thanjavur,06:30 AM,09:27 AM,340,38
TNSTC 1086,Sleeper,Tiruvarur,Tenkasi,01:14 AM,09:30 AM,280,4
TNSTC 1561,Deluxe,Nagapattinam,Sivaganga,06:18 PM,08:45 PM,510,11
TNSTC 5027,Sleeper,Salem,Nagapattinam,09:08 PM,06:01 AM,600,8
TNSTC 4258,AC Seater,Erode,Chengalpattu,04:31 AM,08:40 AM,260,31
TNSTC 9432,Deluxe,Dharmapuri,Erode,04:32 PM,09:16 PM,580,9
TNSTC 4473,Express,Ambur,Karur,04:40 PM,01:11 AM,570,30
TNSTC 8738,Government,Madurai,Tiruvallur,07:54 AM,10:33 AM,590,27
TNSTC 5004,Express,Dindigul,Perambalur,12:40 PM,03:06 PM,200,12
TNSTC 5010,Deluxe,Krishnagiri,Vellore,11:27 PM,02:26 AM,400,2
TNSTC 9585,Government,Thoothukudi,Coimbatore,11:10 PM,02:13 AM,370,8
TNSTC 9982,Government,Nilgiris,Ambur,02:44 PM,05:24 PM,320,32
TNSTC 4288,Sleeper,Virudhunagar,Villupuram,09:14 AM,05:10 PM,220,17
TNSTC 4006,Express,Karur,Erode,07:10 AM,04:49 PM,440,19
TNSTC 3574,AC Seater,Salem,Virudhunagar,03:04 AM,05:30 AM,200,19
TNSTC 8246,Ultra Deluxe,Cuddalore,Ariyalur,09:09 PM,03:44 AM,450,2
TNSTC 8609,Express,Ranipet,Sivaganga,01:13 AM,08:43 AM,390,22
TNSTC 6816,Sleeper,Thoothukudi,Trichy,11:14 PM,04:20 AM,430,9
TNSTC 5409,Ultra Deluxe,Virudhunagar,Ranipet,04:54 AM,07:29 AM,620,17
TNSTC 3215,Express,Tirupathur,Ramanathapuram,06:07 AM,01:59 PM,170,10
TNSTC 2628,Express,Dharmapuri,Vellore,06:53 PM,01:39 AM,400,40
TNSTC 8231,Sleeper,Ranipet,Chengalpattu,06:31 AM,10:12 AM,210,6
TNSTC 7823,Deluxe,Dharmapuri,Tiruvallur,11:46 AM,04:47 PM,550,14
TNSTC 1928,AC Seater,Tiruvallur,Erode,03:59 PM,01:45 AM,610,31
TNSTC 9923,Ultra Deluxe,Karur,Thoothukudi,04:25 PM,09:21 PM,420,11
TNSTC 7881,Deluxe,Nilgiris,Perambalur,11:17 PM,04:16 AM,150,9
TNSTC 4002,Deluxe,Nilgiris,Kallakurichi,03:12 PM,12:07 AM,450,37
TNSTC 9607,Deluxe,Dharmapuri,Trichy,08:32 PM,01:44 AM,280,40
TNSTC 9373,Ultra Deluxe,Chennai,Dindigul,11:38 AM,01:49 PM,460,18
TNSTC 4962,Ultra Deluxe,Dharmapuri,Madurai,04:19 PM,10:02 PM,570,18
TNSTC 8120,Sleeper,Erode,Ramanathapuram,02:38 PM,07:08 PM,220,26
TNSTC 2623,AC Seater,Pudukkottai,Kanyakumari,04:25 AM,06:52 AM,580,14
TNSTC 6745,Deluxe,Ramanathapuram,Tiruvarur,12:02 PM,06:55 PM,460,5
TNSTC 6173,AC Sleeper,Tenkasi,Nilgiris,05:25 PM,02:58 AM,510,12
TNSTC 6598,Ultra Deluxe,Tirupathur,Kanchipuram,10:26 AM,12:42 PM,330,25
TNSTC 9886,Government,Erode,Sivaganga,09:43 PM,06:06 AM,470,25
TNSTC 7061,Sleeper,Pudukkottai,Erode,10:13 AM,06:30 PM,460,36
TNSTC 3024,AC Sleeper,Pudukkottai,Nilgiris,05:51 AM,12:24 PM,250,1
TNSTC 3965,Ultra Deluxe,Nagapattinam,Perambalur,10:09 PM,02:23 AM,440,26
TNSTC 6636,AC Seater,Tirupur,Kanyakumari,03:34 PM,01:25 AM,460,40
TNSTC 1982,AC Sleeper,Kallakurichi,Tiruvallur,06:45 PM,10:37 PM,630,37
TNSTC 1051,Sleeper,Madurai,Ambur,02:08 AM,11:03 AM,310,38
TNSTC 5102,AC Sleeper,Tiruvallur,Ambur,11:28 PM,08:17 AM,260,27
TNSTC 2160,Express,Mayiladuthurai,Tiruvannamalai,04:28 PM,10:49 PM,460,36
TNSTC 9127,Sleeper,Dindigul,Villupuram,12:55 PM,09:52 PM,250,40
TNSTC 6573,AC Seater,Pudukkottai,Tiruvallur,12:26 PM,03:53 PM,380,10
TNSTC 2633,AC Seater,Karur,Dindigul,03:27 PM,07:56 PM,260,16
TNSTC 7114,Deluxe,Dindigul,Cuddalore,12:43 AM,05:52 AM,340,27
TNSTC 9858,Deluxe,Thoothukudi,Erode,04:11 PM,10:24 PM,290,23
TNSTC 2571,Ultra Deluxe,Tirupathur,Tiruvarur,06:18 PM,04:05 AM,200,37
TNSTC 3121,AC Seater,Perambalur,Sivaganga,11:39 PM,08:13 AM,170,11
TNSTC 2441,Government,Chennai,Krishnagiri,10:06 AM,05:59 PM,320,4
TNSTC 7425,Express,Trichy,Erode,10:14 AM,01:31 PM,160,13
TNSTC 2522,AC Sleeper,Trichy,Chennai,06:46 AM,12:58 PM,230,33
TNSTC 4450,Sleeper,Cuddalore,Dindigul,01:45 AM,09:47 AM,290,24
TNSTC 3354,Sleeper,Virudhunagar,Thanjavur,08:47 PM,01:52 AM,300,38
TNSTC 4805,Ultra Deluxe,Sivaganga,Dharmapuri,11:45 PM,03:07 AM,490,25
TNSTC 6670,Deluxe,Tirupathur,Tiruvarur,07:08 PM,03:03 AM,300,39
TNSTC 5140,Sleeper,Thoothukudi,Cuddalore,08:47 PM,05:05 AM,250,36
TNSTC 4986,AC Seater,Tiruvallur,Virudhunagar,02:11 AM,07:12 AM,530,29
TNSTC 5797,Deluxe,Theni,Kallakurichi,06:18 AM,02:11 PM,350,28
TNSTC 6344,Deluxe,Tirunelveli,Krishnagiri,11:43 AM,07:25 PM,560,1
TNSTC 3040,Sleeper,Pudukkottai,Ranipet,11:05 AM,04:42 PM,440,28
TNSTC 3019,Deluxe,Krishnagiri,Tirunelveli,04:03 PM,08:41 PM,380,25
TNSTC 7443,Express,Ramanathapuram,Namakkal,07:50 AM,04:00 PM,480,9
TNSTC 1966,AC Sleeper,Theni,Tirupur,05:54 PM,01:05 AM,430,10
TNSTC 3977,Express,Trichy,Karur,10:17 PM,05:07 AM,240,38
TNSTC 2330,Sleeper,Theni,Nilgiris,05:37 PM,09:06 PM,550,5
TNSTC 7862,Deluxe,Thoothukudi,Nilgiris,06:29 PM,10:42 PM,530,29
TNSTC 9283,Express,Virudhunagar,Trichy,07:13 PM,04:58 AM,240,35
TNSTC 4271,AC Sleeper,Tenkasi,Coimbatore,07:41 PM,02:19 AM,150,25
TNSTC 6602,AC Sleeper,Dindigul,Chennai,08:20 AM,02:26 PM,410,3
TNSTC 9550,AC Sleeper,Tirunelveli,Trichy,02:14 AM,07:08 AM,330,22
TNSTC 9426,Express,Tirupur,Dharmapuri,11:37 AM,05:02 PM,290,12
TNSTC 1209,Express,Kanyakumari,Krishnagiri,11:07 PM,02:27 AM,490,13
TNSTC 4275,Deluxe,Dharmapuri,Ranipet,01:29 PM,08:27 PM,200,35
TNSTC 6724,Sleeper,Virudhunagar,Villupuram,11:52 PM,02:08 AM,580,8
TNSTC 9477,Government,Ariyalur,Tiruvannamalai,01:59 AM,10:20 AM,170,15
TNSTC 9711,Deluxe,Nilgiris,Ariyalur,08:06 AM,12:14 PM,400,3
TNSTC 9885,Deluxe,Dindigul,Ariyalur,03:44 AM,01:21 PM,480,9
TNSTC 1917,Ultra Deluxe,Chengalpattu,Chennai,07:53 PM,02:39 AM,260,2
TNSTC 1326,AC Seater,Ariyalur,Krishnagiri,03:07 AM,11:53 AM,490,5
TNSTC 8832,AC Sleeper,Nilgiris,Vellore,09:26 PM,02:45 AM,610,19
TNSTC 4475,Ultra Deluxe,Chengalpattu,Kanchipuram,05:50 AM,09:52 AM,260,7
TNSTC 3689,Government,Krishnagiri,Kallakurichi,06:18 AM,04:05 PM,260,21
TNSTC 1578,Express,Trichy,Erode,05:58 PM,12:08 AM,470,28
TNSTC 1754,Sleeper,Dharmapuri,Coimbatore,01:58 PM,08:36 PM,520,27
TNSTC 8197,AC Seater,Karur,Ramanathapuram,06:00 AM,02:01 PM,210,10
TNSTC 3810,Deluxe,Kallakurichi,Virudhunagar,01:50 PM,07:12 PM,300,25
TNSTC 9071,Sleeper,Perambalur,Chennai,12:34 AM,04:40 AM,470,20
TNSTC 5475,Government,Ramanathapuram,Tiruvarur,11:01 PM,02:27 AM,330,40
TNSTC 8664,Government,Nilgiris,Dindigul,04:02 PM,08:56 PM,370,8
TNSTC 5124,Express,Tiruvarur,Madurai,10:33 AM,04:18 PM,550,15
TNSTC 7655,AC Sleeper,Virudhunagar,Tenkasi,07:16 AM,09:25 AM,480,35
TNSTC 3044,Sleeper,Mayiladuthurai,Cuddalore,01:52 AM,07:44 AM,570,6
TNSTC 8181,Ultra Deluxe,Vellore,Thanjavur,03:35 PM,11:54 PM,290,32
TNSTC 8907,Express,Thanjavur,Ramanathapuram,09:31 AM,12:19 PM,170,30
TNSTC 7649,Sleeper,Kanyakumari,Nilgiris,11:00 PM,06:01 AM,240,32
TNSTC 7358,Ultra Deluxe,Tiruvannamalai,Tirupur,04:51 PM,11:08 PM,330,38
TNSTC 3266,AC Seater,Nagapattinam,Perambalur,07:04 PM,04:33 AM,300,18
TNSTC 5400,Government,Nilgiris,Sivaganga,07:36 AM,12:39 PM,250,28
TNSTC 3869,AC Seater,Ramanathapuram,Sivaganga,03:57 AM,06:14 AM,470,22
TNSTC 7315,Deluxe,Dindigul,Theni,10:54 PM,07:57 AM,430,12
TNSTC 2362,Ultra Deluxe,Tirunelveli,Sivaganga,10:19 PM,04:19 AM,500,10
TNSTC 5020,Deluxe,Tirunelveli,Nilgiris,03:08 PM,12:16 AM,430,22
TNSTC 8655,Deluxe,Kanchipuram,Sivaganga,01:33 AM,04:45 AM,600,1
TNSTC 2587,Sleeper,Chennai,Cuddalore,07:50 AM,01:12 PM,260,35
TNSTC 5415,AC Seater,Thoothukudi,Nagapattinam,12:41 AM,03:31 AM,580,36
TNSTC 4716,Government,Salem,Ariyalur,07:18 PM,10:04 PM,440,32
TNSTC 1269,Express,Thanjavur,Tiruvarur,11:55 AM,04:58 PM,200,6
TNSTC 1745,Express,Kallakurichi,Karur,12:29 PM,07:08 PM,400,6
TNSTC 1135,Deluxe,Dindigul,Tiruvallur,01:39 AM,08:58 AM,250,13
TNSTC 8227,Express,Ambur,Thoothukudi,06:16 PM,01:14 AM,320,24
TNSTC 8603,AC Seater,Salem,Tiruvannamalai,02:55 PM,07:53 PM,340,14
TNSTC 1073,Sleeper,Tenkasi,Nagapattinam,08:11 AM,01:40 PM,450,8
TNSTC 3286,Deluxe,Nilgiris,Tiruvallur,07:57 PM,10:36 PM,350,16
TNSTC 8433,Express,Erode,Thanjavur,02:58 AM,06:48 AM,230,11
TNSTC 3677,AC Sleeper,Pudukkottai,Ariyalur,11:16 PM,08:50 AM,260,12
TNSTC 4110,Sleeper,Perambalur,Dharmapuri,11:34 AM,06:56 PM,240,14
TNSTC 3287,Government,Thoothukudi,Tiruvallur,07:19 AM,05:11 PM,640,25
TNSTC 8089,Deluxe,Virudhunagar,Nilgiris,03:43 PM,09:18 PM,230,5
TNSTC 7551,AC Seater,Salem,Ranipet,01:08 PM,07:30 PM,220,29
TNSTC 4095,Sleeper,Tiruvallur,Virudhunagar,03:47 AM,11:17 AM,370,20
TNSTC 6672,AC Seater,Ariyalur,Chengalpattu,07:47 AM,03:14 PM,450,36
TNSTC 1412,Government,Tirunelveli,Kanyakumari,11:26 PM,05:05 AM,260,33
TNSTC 5622,AC Seater,Mayiladuthurai,Dindigul,07:37 PM,11:17 PM,170,6
TNSTC 5833,AC Sleeper,Erode,Tirupathur,08:42 AM,02:07 PM,300,16
TNSTC 7097,AC Sleeper,Villupuram,Krishnagiri,04:54 PM,01:41 AM,630,8
TNSTC 4995,AC Seater,Tiruvarur,Virudhunagar,12:07 AM,09:47 AM,580,39
TNSTC 2600,Express,Kallakurichi,Trichy,01:07 AM,04:58 AM,510,9
TNSTC 2253,AC Seater,Ranipet,Villupuram,09:29 PM,11:53 PM,230,20
TNSTC 5189,Sleeper,Chengalpattu,Madurai,02:02 PM,09:58 PM,350,14
TNSTC 9032,Express,Karur,Kallakurichi,11:06 PM,08:49 AM,270,5
TNSTC 8560,Express,Cuddalore,Mayiladuthurai,08:33 PM,01:25 AM,520,40
TNSTC 7685,Government,Trichy,Tiruvallur,05:51 PM,02:14 AM,500,6
TNSTC 7294,Government,Tirunelveli,Tirupathur,11:10 PM,06:13 AM,230,37
TNSTC 9749,Deluxe,Tenkasi,Kanchipuram,12:56 PM,03:18 PM,160,27
TNSTC 6242,AC Seater,Namakkal,Nilgiris,03:11 AM,11:21 AM,600,6
TNSTC 4668,Ultra Deluxe,Ariyalur,Dindigul,08:36 PM,02:41 AM,470,25
TNSTC 3613,Express,Coimbatore,Tirupathur,05:55 AM,01:10 PM,240,28
TNSTC 7647,Ultra Deluxe,Thoothukudi,Pudukkottai,12:16 PM,02:37 PM,240,2
TNSTC 6173,Express,Coimbatore,Nilgiris,02:17 PM,10:32 PM,460,32
TNSTC 2888,Deluxe,Perambalur,Ramanathapuram,05:11 PM,01:26 AM,480,4
TNSTC 4520,AC Sleeper,Erode,Vellore,01:26 AM,08:45 AM,470,17
TNSTC 6908,Express,Sivaganga,Nagapattinam,01:02 PM,09:28 PM,420,9
TNSTC 1041,Sleeper,Karur,Tenkasi,04:29 PM,12:59 AM,370,34
TNSTC 9445,AC Seater,Karur,Chennai,05:33 AM,02:08 PM,550,2
TNSTC 7274,Deluxe,Tiruvarur,Ramanathapuram,11:42 PM,06:02 AM,230,5
TNSTC 2869,AC Sleeper,Kanchipuram,Perambalur,09:46 PM,02:00 AM,460,22
TNSTC 3609,Express,Erode,Tiruvannamalai,07:05 AM,03:06 PM,410,33
TNSTC 2901,AC Sleeper,Tenkasi,Sivaganga,11:02 PM,01:43 AM,420,25
TNSTC 2740,Government,Madurai,Theni,10:28 AM,07:23 PM,330,7
TNSTC 6732,AC Seater,Dharmapuri,Kanchipuram,12:07 PM,04:31 PM,470,14
TNSTC 4846,AC Sleeper,Ambur,Kallakurichi,02:33 PM,07:58 PM,480,27
TNSTC 4709,Government,Tirupur,Vellore,03:21 PM,11:03 PM,520,20
TNSTC 5849,Express,Cuddalore,Tiruvallur,08:50 PM,02:28 AM,370,35
TNSTC 9192,AC Sleeper,Dindigul,Kanyakumari,03:31 AM,06:07 AM,460,3
TNSTC 2379,Express,Dindigul,Tirupathur,04:47 AM,02:02 PM,470,26
TNSTC 1216,AC Sleeper,Mayiladuthurai,Kanyakumari,06:08 AM,09:35 AM,400,4
TNSTC 5775,AC Sleeper,Tenkasi,Erode,09:13 PM,03:07 AM,290,38
TNSTC 3875,Deluxe,Karur,Tirunelveli,03:41 PM,10:42 PM,590,9
TNSTC 9311,Sleeper,Pudukkottai,Kallakurichi,12:48 AM,07:15 AM,440,25
TNSTC 5195,AC Sleeper,Ariyalur,Chengalpattu,12:54 AM,09:24 AM,370,34
TNSTC 8706,Ultra Deluxe,Thoothukudi,Dindigul,10:32 PM,02:45 AM,500,14
TNSTC 2396,Sleeper,Virudhunagar,Tiruvallur,08:53 AM,03:31 PM,550,22
TNSTC 2125,Sleeper,Villupuram,Madurai,09:16 AM,05:25 PM,360,12
TNSTC 5873,Ultra Deluxe,Villupuram,Mayiladuthurai,10:42 PM,03:23 AM,340,16
TNSTC 9485,Express,Cuddalore,Ambur,05:11 PM,11:16 PM,600,22
TNSTC 5676,Government,Ranipet,Erode,01:59 PM,11:40 PM,360,14
TNSTC 4551,AC Sleeper,Tenkasi,Thoothukudi,03:46 PM,09:16 PM,350,22
TNSTC 2631,Deluxe,Tirupur,Dharmapuri,05:20 PM,10:48 PM,490,5
TNSTC 9992,AC Seater,Thoothukudi,Karur,04:34 AM,08:01 AM,540,19
TNSTC 3959,AC Seater,Ambur,Chennai,06:27 PM,12:17 AM,250,7
TNSTC 5491,Express,Pudukkottai,Tirupur,01:49 PM,09:48 PM,490,38
TNSTC 2574,Express,Dindigul,Chennai,10:44 AM,06:31 PM,260,29
TNSTC 1632,Government,Dindigul,Pudukkottai,07:01 PM,03:47 AM,480,35
TNSTC 8670,Ultra Deluxe,Nilgiris,Namakkal,06:56 PM,04:53 AM,540,30
TNSTC 7311,Sleeper,Chennai,Tiruvarur,11:03 AM,02:07 PM,460,3
TNSTC 5592,AC Sleeper,Erode,Kallakurichi,12:27 PM,07:41 PM,330,8
TNSTC 6322,AC Seater,Villupuram,Perambalur,08:32 PM,05:27 AM,520,26
TNSTC 3104,Deluxe,Salem,Sivaganga,07:20 PM,03:53 AM,370,25
TNSTC 2371,AC Sleeper,Chengalpattu,Kanchipuram,12:34 AM,05:57 AM,410,27
TNSTC 3527,Sleeper,Chengalpattu,Tirupathur,09:42 PM,11:53 PM,470,19
TNSTC 9763,Express,Tirupur,Kallakurichi,07:56 PM,12:38 AM,340,20
TNSTC 5331,AC Seater,Tiruvallur,Perambalur,08:25 PM,01:35 AM,590,29
TNSTC 1766,Sleeper,Coimbatore,Tiruvarur,10:06 PM,03:21 AM,460,9
TNSTC 8398,Ultra Deluxe,Nilgiris,Ambur,09:10 PM,11:25 PM,580,39
TNSTC 2577,Deluxe,Tirupur,Ranipet,06:06 AM,03:20 PM,290,8
TNSTC 9327,Express,Chengalpattu,Thanjavur,06:07 PM,09:40 PM,230,39
TNSTC 3468,Deluxe,Namakkal,Villupuram,05:15 AM,09:07 AM,350,30
TNSTC 1917,Sleeper,Tirunelveli,Coimbatore,06:38 PM,11:15 PM,340,40
TNSTC 7693,Government,Tiruvarur,Karur,03:28 AM,06:59 AM,440,16
TNSTC 2366,Deluxe,Tenkasi,Kanyakumari,09:55 PM,01:30 AM,300,4
TNSTC 2712,Deluxe,Tirupur,Salem,05:38 PM,12:35 AM,640,2
TNSTC 4445,Government,Erode,Virudhunagar,11:14 PM,01:31 AM,250,38
TNSTC 7899,Deluxe,Nilgiris,Virudhunagar,06:03 AM,03:04 PM,580,10
TNSTC 3326,AC Seater,Chennai,Perambalur,04:38 AM,07:55 AM,220,34
TNSTC 8005,Deluxe,Namakkal,Coimbatore,10:20 AM,05:12 PM,220,20
TNSTC 3894,AC Sleeper,Kallakurichi,Tirupur,05:10 AM,09:18 AM,250,4
TNSTC 5026,Sleeper,Kanyakumari,Nagapattinam,01:15 PM,04:02 PM,250,22
TNSTC 2284,Government,Chengalpattu,Chennai,12:55 AM,06:21 AM,510,13
TNSTC 6117,AC Sleeper,Tiruvallur,Villupuram,01:23 PM,05:48 PM,630,20
TNSTC 3784,AC Sleeper,Trichy,Nagapattinam,09:17 AM,11:55 AM,200,31
TNSTC 2553,Express,Dharmapuri,Perambalur,05:40 AM,12:03 PM,360,25
TNSTC 3653,Deluxe,Krishnagiri,Erode,09:18 PM,05:41 AM,490,40
TNSTC 2162,AC Seater,Kanchipuram,Dharmapuri,02:34 AM,08:28 AM,390,13
TNSTC 7186,Deluxe,Mayiladuthurai,Theni,12:16 PM,04:54 PM,390,25
TNSTC 4013,Ultra Deluxe,Virudhunagar,Kanyakumari,04:02 PM,12:05 AM,570,9
TNSTC 3826,Ultra Deluxe,Tirupur,Ramanathapuram,05:58 AM,02:43 PM,440,5
TNSTC 5506,Ultra Deluxe,Dharmapuri,Ambur,03:59 PM,12:32 AM,330,4
TNSTC 1136,Ultra Deluxe,Dharmapuri,Chengalpattu,05:50 PM,09:47 PM,410,11
TNSTC 1413,Express,Tirupur,Theni,04:08 PM,01:02 AM,610,16
TNSTC 1504,Deluxe,Tiruvarur,Dharmapuri,08:43 AM,06:04 PM,570,39
TNSTC 6707,Express,Krishnagiri,Vellore,02:12 PM,04:33 PM,240,23
TNSTC 9732,Express,Perambalur,Pudukkottai,06:01 PM,01:57 AM,350,21
TNSTC 5681,Government,Salem,Chengalpattu,09:52 PM,01:56 AM,550,18
TNSTC 4971,Government,Kallakurichi,Vellore,04:16 AM,11:45 AM,260,34
TNSTC 3419,Deluxe,Kallakurichi,Tenkasi,10:55 AM,03:44 PM,440,35
TNSTC 3925,Express,Theni,Chennai,06:37 AM,02:43 PM,190,32
TNSTC 1682,Government,Tiruvannamalai,Pudukkottai,01:02 PM,04:06 PM,590,23
TNSTC 8489,Deluxe,Perambalur,Mayiladuthurai,11:32 AM,02:21 PM,490,34
TNSTC 4337,Sleeper,Tiruvallur,Dindigul,12:51 PM,03:58 PM,340,9
TNSTC 4578,Ultra Deluxe,Cuddalore,Ranipet,09:33 AM,02:38 PM,440,2
TNSTC 6663,Express,Ramanathapuram,Chennai,02:47 PM,05:24 PM,260,29
TNSTC 3685,Express,Tirupathur,Trichy,07:39 AM,10:09 AM,510,16
TNSTC 5434,AC Seater,Cuddalore,Karur,09:02 PM,03:29 AM,540,5
TNSTC 8096,Express,Thanjavur,Sivaganga,11:44 AM,06:28 PM,460,40
TNSTC 5884,AC Seater,Ariyalur,Tirunelveli,10:57 AM,02:33 PM,400,8
TNSTC 8971,Deluxe,Karur,Ambur,09:51 PM,01:46 AM,530,21
TNSTC 9163,Sleeper,Cuddalore,Kanchipuram,05:30 PM,10:31 PM,350,32
TNSTC 3840,Deluxe,Thanjavur,Ambur,12:34 PM,04:01 PM,550,31
TNSTC 7475,Sleeper,Kallakurichi,Tirupur,07:06 AM,11:50 AM,540,20
TNSTC 2869,AC Sleeper,Pudukkottai,Ambur,08:09 PM,05:29 AM,500,29
TNSTC 7785,AC Sleeper,Chennai,Tirupathur,10:12 AM,03:14 PM,390,38
TNSTC 8091,Ultra Deluxe,Tiruvannamalai,Ramanathapuram,02:21 PM,07:03 PM,160,37
TNSTC 6410,Government,Tiruvallur,Kanyakumari,02:21 PM,05:29 PM,170,29
TNSTC 9767,Government,Chengalpattu,Karur,01:57 AM,10:45 AM,280,3
TNSTC 8874,Express,Tirupur,Theni,11:19 AM,08:57 PM,570,30
